device,hospital,education,retail,residence,recreation,industrial,office_facilities,public_institution,transportation
159,2,2,0,6,2,1,1,0,0
160,1,4,0,10,3,0,1,2,0
161,1,4,0,10,3,0,1,2,0
162,0,0,0,8,2,1,0,1,0
163,0,0,0,8,2,1,0,1,0
164,0,0,0,8,2,1,0,1,0
165,0,0,0,8,2,1,0,1,0
166,0,0,0,8,2,1,0,1,0
167,0,3,2,9,1,0,0,2,0
168,0,3,2,9,1,0,0,2,0
169,0,3,2,9,1,0,0,2,0
170,0,3,2,9,1,0,0,2,0
171,0,2,2,6,3,0,3,1,0
172,0,2,2,6,3,0,3,1,0
173,1,2,4,8,4,0,3,3,0
174,1,2,4,8,4,0,3,3,0
175,2,3,5,7,4,0,4,3,0
176,0,3,5,9,3,0,5,1,0
177,0,3,5,9,3,0,5,1,0
178,2,2,2,9,2,0,4,1,0
179,2,2,2,9,2,0,4,1,0
180,2,2,2,9,2,0,4,1,0
181,2,2,2,9,2,0,4,1,0
182,2,7,1,8,3,0,1,3,0
183,2,7,1,8,3,0,1,3,0
184,1,6,1,11,0,1,0,0,0
185,2,9,2,6,3,0,0,0,0
186,1,6,1,11,0,1,0,0,0
187,1,6,1,11,0,1,0,0,0
188,1,6,1,11,0,1,0,0,0
189,2,6,0,10,0,1,0,0,0
190,2,6,0,10,0,1,0,0,0
191,0,2,1,10,1,0,2,5,0
192,0,2,1,10,1,0,2,5,0
193,0,2,1,10,1,0,2,5,0
194,2,9,2,6,3,0,0,0,0
195,1,6,2,12,0,1,0,0,0
196,2,9,2,6,3,0,0,0,0
197,1,5,2,12,0,1,0,0,0
198,1,5,2,12,0,1,0,0,0
199,1,8,1,10,0,0,1,0,0
200,1,8,1,10,0,0,1,0,0
201,1,2,0,11,0,1,0,2,0
202,1,5,2,12,0,1,0,0,0
203,1,4,1,10,0,0,0,0,0
204,2,3,5,7,4,0,4,3,0
205,1,10,2,8,3,0,0,0,0
206,0,3,3,2,1,1,3,2,0
207,0,2,3,2,1,1,3,3,0
208,0,3,3,10,2,0,4,2,0
209,0,2,5,8,4,0,0,2,0
210,0,1,0,5,1,3,1,2,0
211,2,5,9,12,0,0,1,1,0
212,0,2,2,6,3,0,3,1,0
213,0,2,2,6,3,1,2,1,0
214,1,5,0,9,3,1,0,1,0
215,1,5,0,9,3,1,0,1,0
216,1,5,0,9,3,1,0,1,0
217,1,5,0,9,3,1,0,1,0
218,2,4,0,7,3,0,0,1,0
219,2,4,0,7,3,0,0,1,0
220,2,4,0,7,3,0,0,1,0
221,0,4,0,6,5,0,0,2,0
222,0,4,0,6,5,0,0,2,0
223,0,4,0,6,5,0,0,2,0
224,0,4,0,6,5,0,0,2,0
225,0,2,0,9,2,0,0,3,0
226,0,2,0,9,2,0,0,3,0
227,0,2,0,9,2,0,0,3,0
228,0,2,0,9,2,0,0,3,0
229,0,3,1,8,0,3,0,0,0
230,0,3,1,8,0,3,0,0,0
231,1,6,2,14,0,1,0,1,0
232,1,6,2,14,0,1,0,1,0
233,1,6,2,14,0,1,0,1,0
234,1,6,2,14,0,1,0,1,0
235,0,8,2,11,0,1,0,1,0
236,0,8,2,11,0,1,0,1,0
237,0,8,2,11,0,1,0,1,0
238,0,8,2,11,0,1,0,1,0
239,0,8,2,12,0,1,0,0,0
240,0,8,2,12,0,1,0,0,0
241,0,8,2,12,0,1,0,0,0
242,0,8,2,12,0,1,0,0,0
243,0,2,2,13,3,0,4,1,0
244,0,2,2,13,3,0,4,1,0
245,0,2,2,13,3,0,4,1,0
246,0,2,2,13,3,0,4,1,0
247,0,1,1,6,2,0,2,2,0
248,0,1,1,6,2,0,2,2,0
249,0,1,1,6,2,0,2,2,0
250,0,1,1,6,2,0,2,2,0
251,0,3,3,2,1,0,3,3,0
252,0,3,3,2,1,0,3,3,0
253,0,3,3,2,1,0,3,3,0
254,0,2,0,9,0,1,1,0,0
255,0,2,0,9,0,1,1,0,0
256,0,2,0,9,0,1,1,0,0
257,0,2,0,9,0,1,1,0,0
258,2,4,7,10,1,0,1,1,0
259,2,4,7,10,1,0,1,1,0
260,2,4,7,10,1,0,1,1,0
261,0,4,9,14,0,0,1,2,0
262,2,5,2,12,1,0,1,1,0
263,2,5,2,12,1,0,1,1,0
264,2,5,2,12,1,0,1,1,0
265,2,5,2,12,1,0,1,1,0
266,1,4,2,12,0,0,1,2,0
267,2,6,1,10,1,0,0,0,0
268,2,6,1,10,1,0,0,0,0
269,1,2,1,10,2,1,1,1,0
270,1,2,1,10,2,1,1,1,0
271,1,2,1,10,2,1,1,1,0
272,1,2,1,10,2,1,1,1,0
273,0,7,1,14,1,1,0,1,0
274,0,7,1,14,1,1,0,1,0
275,0,0,0,5,2,8,0,0,0
276,0,0,0,0,1,8,0,3,0
277,2,3,4,9,3,1,3,1,0
278,2,3,4,9,3,1,3,1,0
279,1,1,4,11,3,0,4,3,0
280,1,3,0,5,1,7,0,1,0
281,0,0,2,7,1,0,0,2,0
282,0,0,2,7,1,0,0,2,0
283,0,4,0,6,5,0,0,2,0
284,0,1,0,0,8,0,0,4,0
285,0,0,0,8,2,1,0,1,0
286,1,3,0,5,1,7,0,1,0
287,2,7,1,8,3,0,1,3,0
288,2,3,4,8,4,0,5,2,0
289,0,10,2,7,1,0,0,0,0
290,0,10,2,7,1,0,0,0,0
